iter	Passed	Remaining
0	150	14926
1	169	8304
2	189	6116
3	206	4959
4	223	4255
5	240	3768
6	259	3441
7	276	3176
8	295	2991
9	316	2846
10	336	2726
11	357	2623
12	375	2515
13	398	2448
14	417	2364
15	438	2301
16	458	2239
17	478	2181
18	499	2130
19	519	2076
20	538	2026
21	556	1971
22	572	1916
23	592	1877
24	611	1834
25	628	1790
26	648	1753
27	665	1710
28	682	1670
29	698	1630
30	718	1598
31	737	1566
32	754	1530
33	769	1494
34	785	1459
35	804	1430
36	820	1397
37	839	1369
38	854	1336
39	869	1304
40	887	1277
41	904	1248
42	921	1221
43	936	1191
44	952	1163
45	968	1136
46	984	1109
47	999	1083
48	1016	1057
49	1032	1032
50	1049	1008
51	1065	983
52	1081	959
53	1097	934
54	1111	909
55	1127	885
56	1143	862
57	1159	839
58	1174	816
59	1190	793
60	1206	771
61	1223	749
62	1240	728
63	1256	706
64	1275	686
65	1290	664
66	1305	643
67	1322	622
68	1338	601
69	1353	580
70	1368	559
71	1386	539
72	1403	519
73	1419	498
74	1434	478
75	1449	457
76	1464	437
77	1481	417
78	1496	397
79	1512	378
80	1530	359
81	1549	340
82	1565	320
83	1582	301
84	1599	282
85	1615	263
86	1631	243
87	1647	224
88	1661	205
89	1679	186
90	1695	167
91	1713	148
92	1729	130
93	1744	111
94	1760	92
95	1775	73
96	1791	55
97	1807	36
98	1823	18
99	1838	0
