iter	Logloss
0	0.6732533553
1	0.6574482224
2	0.6405574714
3	0.6253517801
4	0.6139696166
5	0.603560544
6	0.5974395932
7	0.5885975938
8	0.5827262615
9	0.5742495905
10	0.5683796358
11	0.5638031855
12	0.5591877583
13	0.5551490887
14	0.5514798112
15	0.5478855511
16	0.5448269576
17	0.5416171033
18	0.5388942165
19	0.5358607775
20	0.5342566917
21	0.5315456961
22	0.5284527467
23	0.5259279033
24	0.5236309352
25	0.5217394838
26	0.5193344724
27	0.5178736026
28	0.5159828127
29	0.5146087747
30	0.5121952781
31	0.5103054236
32	0.5088762458
33	0.5070190718
34	0.5051915854
35	0.5041920464
36	0.5032648261
37	0.5013451141
38	0.4995257805
39	0.4986076284
40	0.4968829011
41	0.4952543552
42	0.4939446715
43	0.4928691795
44	0.4918771701
45	0.4905274041
46	0.4895137667
47	0.4882721097
48	0.4871705479
49	0.4859992948
50	0.485262146
51	0.4845137748
52	0.482975801
53	0.4822589537
54	0.4813726197
55	0.4802400181
56	0.4789759785
57	0.4777556846
58	0.4766522426
59	0.475837586
60	0.4750275794
61	0.4745169813
62	0.4732041457
63	0.4722851366
64	0.4717740086
65	0.4707264154
66	0.4697658313
67	0.4694024999
68	0.4684532149
69	0.4679002579
70	0.467216177
71	0.4667438541
72	0.4660178984
73	0.4651167461
74	0.4643755173
75	0.4633666872
76	0.462291155
77	0.4615945362
78	0.4610053047
79	0.460443612
80	0.4593858562
81	0.4587512454
82	0.4575521008
83	0.4567161249
84	0.456189784
85	0.4553854106
86	0.4546979732
87	0.4540002179
88	0.4528804138
89	0.4518437214
90	0.4510213523
91	0.4501186488
92	0.4496363533
93	0.4491297621
94	0.448180362
95	0.4476613041
96	0.4472807957
97	0.4466293861
98	0.4460968511
99	0.4449331113
