iter	Passed	Remaining
0	182	18024
1	237	11624
2	289	9345
3	336	8065
4	384	7296
5	428	6717
6	472	6271
7	516	5939
8	565	5720
9	617	5556
10	670	5424
11	718	5266
12	762	5106
13	808	4964
14	849	4811
15	893	4692
16	943	4608
17	999	4552
18	1043	4449
19	1096	4386
20	1149	4322
21	1191	4223
22	1244	4167
23	1291	4089
24	1331	3995
25	1379	3926
26	1423	3847
27	1473	3788
28	1522	3727
29	1566	3654
30	1606	3575
31	1646	3499
32	1691	3434
33	1743	3385
34	1785	3316
35	1831	3255
36	1879	3200
37	1920	3133
38	1963	3071
39	2007	3011
40	2052	2954
41	2095	2893
42	2140	2836
43	2181	2776
44	2233	2729
45	2271	2667
46	2311	2606
47	2350	2546
48	2390	2487
49	2434	2434
50	2474	2377
51	2520	2326
52	2566	2276
53	2608	2221
54	2650	2168
55	2691	2114
56	2739	2066
57	2789	2020
58	2833	1968
59	2889	1926
60	2937	1877
61	2984	1829
62	3025	1777
63	3066	1725
64	3107	1673
65	3146	1620
66	3199	1576
67	3245	1527
68	3288	1477
69	3336	1430
70	3387	1383
71	3426	1332
72	3470	1283
73	3514	1234
74	3561	1187
75	3599	1136
76	3640	1087
77	3678	1037
78	3717	988
79	3764	941
80	3802	892
81	3838	842
82	3887	796
83	3926	747
84	3963	699
85	4005	652
86	4045	604
87	4089	557
88	4130	510
89	4168	463
90	4207	416
91	4250	369
92	4297	323
93	4338	276
94	4393	231
95	4433	184
96	4473	138
97	4513	92
98	4555	46
99	4597	0
