iter	Passed	Remaining
0	155	15425
1	194	9529
2	233	7549
3	268	6441
4	304	5778
5	337	5281
6	369	4908
7	403	4645
8	443	4484
9	481	4330
10	521	4217
11	558	4093
12	591	3955
13	624	3836
14	655	3714
15	688	3616
16	725	3541
17	764	3483
18	796	3395
19	833	3332
20	867	3264
21	897	3180
22	934	3129
23	970	3074
24	1000	3001
25	1033	2940
26	1063	2875
27	1097	2822
28	1132	2772
29	1164	2716
30	1193	2656
31	1222	2598
32	1254	2546
33	1290	2504
34	1320	2451
35	1351	2402
36	1385	2358
37	1415	2308
38	1446	2263
39	1478	2217
40	1510	2173
41	1540	2127
42	1571	2082
43	1601	2037
44	1637	2001
45	1666	1956
46	1696	1913
47	1726	1870
48	1757	1828
49	1789	1789
50	1818	1746
51	1850	1708
52	1883	1669
53	1911	1628
54	1941	1588
55	1970	1548
56	2004	1512
57	2039	1477
58	2070	1438
59	2109	1406
60	2144	1370
61	2177	1334
62	2206	1295
63	2237	1258
64	2268	1221
65	2296	1183
66	2334	1149
67	2367	1113
68	2397	1077
69	2431	1042
70	2467	1007
71	2496	970
72	2526	934
73	2557	898
74	2590	863
75	2619	827
76	2650	791
77	2679	755
78	2708	720
79	2741	685
80	2771	650
81	2799	614
82	2834	580
83	2864	545
84	2893	510
85	2924	476
86	2954	441
87	2988	407
88	3019	373
89	3048	338
90	3078	304
91	3111	270
92	3145	236
93	3176	202
94	3218	169
95	3248	135
96	3279	101
97	3310	67
98	3341	33
99	3372	0
